FECHA;CÓDIGO DE USUARIO;Producto;UBICACION 1 ;MONTO POR CALLE 1
7/6/2023;5.1;PAPAS, TOMATES, CHOCLO, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Reales Tamarindo;$10 a $15 dólares
8/6/2023;5.1;LECHUGA, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Reales Tamarindo;$20 a $25 dólares
9/6/2023;5.1;LECHUGA, PAPAS, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA;Av. Reales Tamarindo;$10 a $15 dólares
10/6/2023;5.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, AJO;Av. Reales Tamarindo;$10 a $15 dólares
11/6/2023;5.1;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Reales Tamarindo;$15 a $20 dólares
5/6/2023;6.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Sucre;$10 a $15 dólares
6/6/2023;6.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Sucre;$10 a $15 dólares
7/6/2023;6.2;LECHUGA, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA;Sucre;$10 a $15 dólares
8/6/2023;6.2;TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA BLANCA, AJO;Sucre;$5 a $10 dólares
9/6/2023;6.2;PAPAS, TOMATES, ZANAHORIA, BRÓCOLI, CEBOLLA;Sucre;$5 a $10 dólares
10/6/2023;6.2;PAPAS, TOMATES, CHOCLO;Sucre;$5 a $10 dólares
11/6/2023;6.2;LECHUGA, PAPAS, BRÓCOLI, CEBOLLA;Sucre;$5 a $10 dólares
5/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$10 a $15 dólares
6/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$15 a $20 dólares
7/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$5 a $10 dólares
8/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$10 a $15 dólares
9/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$20 a $25 dólares
10/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$5 a $10 dólares
11/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Morales;$15 a $20 dólares
5/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA;Av. Reales Tamarindo;$10 a $15 dólares
6/6/2023;1.1;PAPAS, TOMATES, CHOCLO;Av. Reales Tamarindo;$5 a $10 dólares
7/6/2023;1.1;PAPAS, TOMATES;Av. Reales Tamarindo;$5 a $10 dólares
8/6/2023;1.1;CHOCLO, ZANAHORIA;Av. Reales Tamarindo;$5 a $10 dólares
9/6/2023;1.1;LECHUGA, PAPAS, CHOCLO;Av. Reales Tamarindo;$5 a $10 dólares
10/6/2023;1.1;LECHUGA, TOMATES, BRÓCOLI;Av. Reales Tamarindo;$10 a $15 dólares
11/6/2023;1.1;TOMATES;Av. Reales Tamarindo;$5 a $10 dólares
5/6/2023;2.2;PAPAS, TOMATES, CHOCLO, CEBOLLA, AJO;Av. Olmedo;$25 a $30 dólares
6/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$30 a $35 dólares
